title,titleUrl,subtitles/0/name,subtitles/0/url,time
Watched شاب سوري مع بنت تركية صوته بجنن 😍|| احلى غنية تركيا بصوت شب وبنت,https://www.youtube.com/watch?v=nk-V68OV298,حلوشةCute,https://www.youtube.com/channel/UCHzquQB5J9Zr2go1zkQYgfQ,2023-01-05T14:50:23.274Z
Watched شب سوري يغني مع شباب اتراك بلغرام تركيه وعربي,https://www.youtube.com/watch?v=6pXWFUcqIhc,Mr joker,https://www.youtube.com/channel/UCs0BuPorvLOvFcTs4Oze3bQ,2023-01-05T14:49:32.803Z
Watched Majd Barakat -alo aleky (cover ) | مجد بركات -قالو عليكي,https://www.youtube.com/watch?v=Or2PT88oY-w,Majd Barakat | مجد بركات,https://www.youtube.com/channel/UC9zGj5QUWQA7JHoB2786fag,2023-01-05T14:49:26.389Z
Watched ظنوه تركياً.. شاب سوري يفاجئ أتراكاً بغنائه باللغة العربية بعدما شاركهم الغناء باللغة التركية,https://www.youtube.com/watch?v=wexCsGZKPZE,تلفزيون أورينت Orient TV,https://www.youtube.com/channel/UCZslGytOwaEEZPkiE4X47FA,2023-01-05T14:45:14.766Z
Watched Marwa Loud - Bad Boy (Lyrics),https://www.youtube.com/watch?v=9tDzvJMXDRw,Vibe Music,https://www.youtube.com/channel/UChO8h2G8UjOVc081rgYU8XQ,2023-01-02T21:31:11.206Z
Watched Stop Wasting Time on YouTube!,https://www.youtube.com/watch?v=uaGz82QEluw,Mike Dee,https://www.youtube.com/channel/UCl2d5Qgfcactbzkfpp0ayug,2023-01-07T18:11:49.990Z
Watched ماني ملتزم  - نصايح تقوي انضباطك,https://www.youtube.com/watch?v=8dLaGiJK1hA,عبدالله العلاوي,https://www.youtube.com/channel/UCUdtq-Fvlw7_NjzduNTZsbg,2023-01-07T09:58:08.017Z
Watched هذه الورقة هي السر (الشرح بالفيديو),https://www.youtube.com/watch?v=vTJJMQcYRJY,عبدالله العلاوي,https://www.youtube.com/channel/UCUdtq-Fvlw7_NjzduNTZsbg,2023-01-07T09:44:07.003Z
Watched How To Change Your Life In 50 Days | Project 50 Challenge 2023,https://www.youtube.com/watch?v=HWAt8j9WLB0,Tenzin Lhoden,https://www.youtube.com/channel/UCDbfqcnPehxKE9Rn3bMbjrg,2023-01-07T09:40:31.278Z
Watched Brand Campaign BOFU GetStarted 16x9 15s,https://www.youtube.com/watch?v=23Vf3YrKZdE,,,2023-01-07T09:15:53.407Z
Watched QUIT Instagram and ALL Social Media,https://www.youtube.com/watch?v=PdZc6jc215k,Super Creative,https://www.youtube.com/channel/UCIGFI4Khx4wA5I824eALSTw,2023-01-07T09:04:21.603Z
Watched تدمرت حياته في أصعب 90 يوم - قصة ملهمة,https://www.youtube.com/watch?v=i0A1QYw8fF8,عبدالله العلاوي,https://www.youtube.com/channel/UCUdtq-Fvlw7_NjzduNTZsbg,2023-01-06T14:33:00.322Z
Watched How to Build Self-Discipline: The Stoic Way | Stoicism for Discipline,https://www.youtube.com/watch?v=02o-gxQy130,Einzelgänger,https://www.youtube.com/channel/UCybBViio_TH_uiFFDJuz5tg,2023-01-06T12:54:23.646Z
Watched BOOKSTORES: How to Read More Books in the Golden Age of Content,https://www.youtube.com/watch?v=lIW5jBrrsS0,Max Joseph,https://www.youtube.com/channel/UCR0tBVaZPaSqmdqkw7oYmcw,2023-01-06T12:27:02.589Z
Watched Stop Studying. Start Learning | Justin Sung | TEDxUOA,https://www.youtube.com/watch?v=TQXMl4GycD0,TEDx Talks,https://www.youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q,2023-01-06T12:23:42.032Z
"Watched NEW YEAR, NEW M...STOP (2023)",https://www.youtube.com/watch?v=hF0zqiiMgOk,Prince Ea,https://www.youtube.com/channel/UCDgUAAHgsV2fFZQm2fIWBnA,2023-01-06T12:17:30.654Z
Watched Quit social media | Dr. Cal Newport | TEDxTysons,https://www.youtube.com/watch?v=3E7hkPZ-HTk,TEDx Talks,https://www.youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q,2023-01-06T10:23:42.038Z
Watched Ali Abdaal - The King of Toxic Productivity,https://www.youtube.com/watch?v=_z8M7oxjvdw,Dareios IV.,https://www.youtube.com/channel/UCGC97VugmI1kh8xhAZntsoA,2023-01-06T10:15:57.281Z
